rank,category,prompt,mean_score,std_score,min_score,max_score,n_samples,audio_paths
16,INSTRUMENTS,marimba percussion,0.382537,0.014698,0.367839,0.397234,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__marimba_percussion__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__marimba_percussion__s1.wav
17,INSTRUMENTS,oboe classical melody,0.381623,0.018377,0.363246,0.399999,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__oboe_classical_melody__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__oboe_classical_melody__s1.wav
18,EMOTION_MOOD,mysterious and eerie soundscape,0.377456,0.031093,0.346363,0.408548,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__mysterious_and_eerie_soundscape__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__mysterious_and_eerie_soundscape__s1.wav
19,GENRES,jazz improvisation,0.374254,0.011698,0.362556,0.385952,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__jazz_improvisation__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__jazz_improvisation__s1.wav
20,COMPOUND_PHRASES,bright and cheerful ukulele melody,0.372316,0.030611,0.341706,0.402927,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__bright_and_cheerful_ukulele_melody__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__bright_and_cheerful_ukulele_melody__s1.wav
21,INSTRUMENTS,saxophone jazz improvisation,0.369772,0.037285,0.332487,0.407057,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__saxophone_jazz_improvisation__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__saxophone_jazz_improvisation__s1.wav
22,TEXTURES,legato flowing music,0.367124,0.019162,0.347962,0.386286,2,scripts/outputs/prompt_clap_consistency/audio/TEXTURES__legato_flowing_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/TEXTURES__legato_flowing_music__s1.wav
23,INSTRUMENTS,french horn fanfare,0.366311,0.018721,0.347590,0.385032,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__french_horn_fanfare__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__french_horn_fanfare__s1.wav
24,COMPOUND_PHRASES,pulsating techno synthesizer with kick drum,0.362520,0.039831,0.322690,0.402351,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__pulsating_techno_synthesizer_with_kick_d__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__pulsating_techno_synthesizer_with_kick_d__s1.wav
25,COMPOUND_PHRASES,tense thriller music with staccato strings,0.349671,0.076874,0.272797,0.426544,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__tense_thriller_music_with_staccato_strin__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__tense_thriller_music_with_staccato_strin__s1.wav
26,COMPOUND_PHRASES,gentle piano melody with soft strings,0.348894,0.006879,0.342015,0.355773,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__gentle_piano_melody_with_soft_strings__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__gentle_piano_melody_with_soft_strings__s1.wav
27,EMOTION_MOOD,ethereal and dreamy soundscape,0.348084,0.041379,0.306705,0.389464,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__ethereal_and_dreamy_soundscape__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__ethereal_and_dreamy_soundscape__s1.wav
28,INSTRUMENTS,flute melody,0.347862,0.006876,0.340986,0.354737,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__flute_melody__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__flute_melody__s1.wav
29,COMPOUND_PHRASES,delicate harp arpeggio with strings,0.344600,0.022705,0.321895,0.367306,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__delicate_harp_arpeggio_with_strings__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__delicate_harp_arpeggio_with_strings__s1.wav
30,ENVIRONMENTS,outer space ambient sounds,0.342857,0.018472,0.324385,0.361329,2,scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__outer_space_ambient_sounds__s0.wav;scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__outer_space_ambient_sounds__s1.wav
31,TEXTURES,dark and heavy music,0.341476,0.040337,0.301139,0.381813,2,scripts/outputs/prompt_clap_consistency/audio/TEXTURES__dark_and_heavy_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/TEXTURES__dark_and_heavy_music__s1.wav
32,EMOTION_MOOD,tense and suspenseful music,0.340176,0.014830,0.325346,0.355006,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__tense_and_suspenseful_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__tense_and_suspenseful_music__s1.wav
33,EMOTION_MOOD,anxious and unsettling music,0.337304,0.039077,0.298227,0.376381,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__anxious_and_unsettling_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__anxious_and_unsettling_music__s1.wav
34,COMPOUND_PHRASES,deep meditative drone with bells,0.328346,0.009137,0.319209,0.337483,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__deep_meditative_drone_with_bells__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__deep_meditative_drone_with_bells__s1.wav
35,COMPOUND_PHRASES,warm jazz piano trio with bass and drums,0.327826,0.001020,0.326806,0.328846,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__warm_jazz_piano_trio_with_bass_and_drums__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__warm_jazz_piano_trio_with_bass_and_drums__s1.wav
36,COMPOUND_PHRASES,haunting minor key string quartet,0.326854,0.062157,0.264696,0.389011,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__haunting_minor_key_string_quartet__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__haunting_minor_key_string_quartet__s1.wav
37,TEXTURES,lo-fi degraded audio,0.326210,0.009060,0.317151,0.335270,2,scripts/outputs/prompt_clap_consistency/audio/TEXTURES__lo_fi_degraded_audio__s0.wav;scripts/outputs/prompt_clap_consistency/audio/TEXTURES__lo_fi_degraded_audio__s1.wav
38,GENRES,full orchestral arrangement,0.325781,0.083567,0.242215,0.409348,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__full_orchestral_arrangement__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__full_orchestral_arrangement__s1.wav
39,TEXTURES,reverberant echoing music,0.325269,0.028301,0.296968,0.353570,2,scripts/outputs/prompt_clap_consistency/audio/TEXTURES__reverberant_echoing_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/TEXTURES__reverberant_echoing_music__s1.wav
40,GENRES,techno music,0.322775,0.004488,0.318286,0.327263,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__techno_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__techno_music__s1.wav
41,TEXTURES,warm and mellow music,0.316624,0.063724,0.252900,0.380347,2,scripts/outputs/prompt_clap_consistency/audio/TEXTURES__warm_and_mellow_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/TEXTURES__warm_and_mellow_music__s1.wav
42,INSTRUMENTS,violin string melody,0.316207,0.013704,0.302502,0.329911,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__violin_string_melody__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__violin_string_melody__s1.wav
43,TEXTURES,bright and shimmering music,0.309935,0.044966,0.264969,0.354902,2,scripts/outputs/prompt_clap_consistency/audio/TEXTURES__bright_and_shimmering_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/TEXTURES__bright_and_shimmering_music__s1.wav
44,EMOTION_MOOD,melancholic and reflective music,0.308998,0.026368,0.282630,0.335365,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__melancholic_and_reflective_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__melancholic_and_reflective_music__s1.wav
45,EMOTION_MOOD,aggressive and intense music,0.307985,0.023141,0.284844,0.331126,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__aggressive_and_intense_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__aggressive_and_intense_music__s1.wav
46,COMPOUND_PHRASES,slow and sorrowful piano ballad,0.307824,0.010446,0.297379,0.318270,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__slow_and_sorrowful_piano_ballad__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__slow_and_sorrowful_piano_ballad__s1.wav
47,COMPOUND_PHRASES,dark orchestral tension with low brass,0.306135,0.034989,0.271146,0.341123,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__dark_orchestral_tension_with_low_brass__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__dark_orchestral_tension_with_low_brass__s1.wav
48,TEXTURES,glitchy electronic music,0.303958,0.006689,0.297269,0.310647,2,scripts/outputs/prompt_clap_consistency/audio/TEXTURES__glitchy_electronic_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/TEXTURES__glitchy_electronic_music__s1.wav
49,COMPOUND_PHRASES,upbeat jazz with saxophone and piano,0.303952,0.009826,0.294126,0.313778,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__upbeat_jazz_with_saxophone_and_piano__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__upbeat_jazz_with_saxophone_and_piano__s1.wav
50,COMPOUND_PHRASES,epic cinematic orchestra with choir,0.303899,0.009052,0.294847,0.312951,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__epic_cinematic_orchestra_with_choir__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__epic_cinematic_orchestra_with_choir__s1.wav
51,TEXTURES,layered and lush orchestration,0.297605,0.022879,0.274727,0.320484,2,scripts/outputs/prompt_clap_consistency/audio/TEXTURES__layered_and_lush_orchestration__s0.wav;scripts/outputs/prompt_clap_consistency/audio/TEXTURES__layered_and_lush_orchestration__s1.wav
52,COMPOUND_PHRASES,funky bass groove with brass section,0.293129,0.060534,0.232595,0.353663,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__funky_bass_groove_with_brass_section__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__funky_bass_groove_with_brass_section__s1.wav
53,EMOTION_MOOD,dark and ominous music,0.291088,0.009762,0.281326,0.300850,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__dark_and_ominous_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__dark_and_ominous_music__s1.wav
54,INSTRUMENTS,pipe organ music,0.288085,0.034803,0.253282,0.322888,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__pipe_organ_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__pipe_organ_music__s1.wav
55,COMPOUND_PHRASES,energetic rock guitar with drums,0.286765,0.033407,0.253358,0.320172,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__energetic_rock_guitar_with_drums__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__energetic_rock_guitar_with_drums__s1.wav
56,COMPOUND_PHRASES,jubilant fanfare with brass and timpani,0.285985,0.001415,0.284570,0.287401,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__jubilant_fanfare_with_brass_and_timpani__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__jubilant_fanfare_with_brass_and_timpani__s1.wav
57,ENVIRONMENTS,forest nature ambience,0.284079,0.023755,0.260323,0.307834,2,scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__forest_nature_ambience__s0.wav;scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__forest_nature_ambience__s1.wav
58,ENVIRONMENTS,waterfall sounds,0.277155,0.017229,0.259926,0.294384,2,scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__waterfall_sounds__s0.wav;scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__waterfall_sounds__s1.wav
59,EMOTION_MOOD,sad melancholic melody,0.274085,0.005717,0.268368,0.279802,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__sad_melancholic_melody__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__sad_melancholic_melody__s1.wav
60,GENRES,cinematic film score,0.272192,0.044022,0.228170,0.316214,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__cinematic_film_score__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__cinematic_film_score__s1.wav
61,EMOTION_MOOD,happy upbeat music,0.270356,0.030387,0.239969,0.300744,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__happy_upbeat_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__happy_upbeat_music__s1.wav
62,EMOTION_MOOD,dramatic and cinematic music,0.266380,0.015380,0.251000,0.281761,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__dramatic_and_cinematic_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__dramatic_and_cinematic_music__s1.wav
63,EMOTION_MOOD,playful and whimsical melody,0.265392,0.023005,0.242387,0.288397,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__playful_and_whimsical_melody__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__playful_and_whimsical_melody__s1.wav
64,GENRES,bossa nova,0.264653,0.027031,0.237622,0.291684,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__bossa_nova__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__bossa_nova__s1.wav
65,TEXTURES,dry and intimate recording,0.264014,0.019547,0.244466,0.283561,2,scripts/outputs/prompt_clap_consistency/audio/TEXTURES__dry_and_intimate_recording__s0.wav;scripts/outputs/prompt_clap_consistency/audio/TEXTURES__dry_and_intimate_recording__s1.wav
66,COMPOUND_PHRASES,calm acoustic guitar with light percussion,0.263796,0.006408,0.257388,0.270203,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__calm_acoustic_guitar_with_light_percussi__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__calm_acoustic_guitar_with_light_percussi__s1.wav
67,INSTRUMENTS,trumpet fanfare,0.260976,0.048798,0.212178,0.309774,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__trumpet_fanfare__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__trumpet_fanfare__s1.wav
68,EMOTION_MOOD,nostalgic and wistful tune,0.259007,0.034178,0.224829,0.293185,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__nostalgic_and_wistful_tune__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__nostalgic_and_wistful_tune__s1.wav
69,GENRES,folk acoustic music,0.258541,0.007201,0.251341,0.265742,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__folk_acoustic_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__folk_acoustic_music__s1.wav
70,EMOTION_MOOD,romantic and tender music,0.258224,0.003069,0.255156,0.261293,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__romantic_and_tender_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__romantic_and_tender_music__s1.wav
71,EMOTION_MOOD,serene and tranquil music,0.254482,0.003630,0.250851,0.258112,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__serene_and_tranquil_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__serene_and_tranquil_music__s1.wav
72,EMOTION_MOOD,hopeful and uplifting music,0.248695,0.029921,0.218773,0.278616,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__hopeful_and_uplifting_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__hopeful_and_uplifting_music__s1.wav
73,COMPOUND_PHRASES,soft and intimate acoustic guitar solo,0.245159,0.049767,0.195393,0.294926,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__soft_and_intimate_acoustic_guitar_solo__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__soft_and_intimate_acoustic_guitar_solo__s1.wav
74,GENRES,electronic dance music,0.240883,0.001525,0.239358,0.242407,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__electronic_dance_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__electronic_dance_music__s1.wav
75,INSTRUMENTS,bass guitar groove,0.238897,0.024860,0.214037,0.263758,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__bass_guitar_groove__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__bass_guitar_groove__s1.wav
76,GENRES,hip hop beat,0.226098,0.047214,0.178884,0.273312,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__hip_hop_beat__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__hip_hop_beat__s1.wav
77,TEXTURES,cold and distant music,0.222652,0.033982,0.188670,0.256634,2,scripts/outputs/prompt_clap_consistency/audio/TEXTURES__cold_and_distant_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/TEXTURES__cold_and_distant_music__s1.wav
78,INSTRUMENTS,drum kit rhythm,0.219664,0.033009,0.186655,0.252674,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__drum_kit_rhythm__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__drum_kit_rhythm__s1.wav
79,EMOTION_MOOD,peaceful and calm ambient music,0.215105,0.001475,0.213630,0.216580,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__peaceful_and_calm_ambient_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__peaceful_and_calm_ambient_music__s1.wav
80,GENRES,blues music,0.213007,0.058579,0.154429,0.271586,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__blues_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__blues_music__s1.wav
81,EMOTION_MOOD,energetic and powerful music,0.212136,0.033759,0.178377,0.245895,2,scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__energetic_and_powerful_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/EMOTION_MOOD__energetic_and_powerful_music__s1.wav
82,TEXTURES,rich and full-bodied music,0.205593,0.012272,0.193321,0.217865,2,scripts/outputs/prompt_clap_consistency/audio/TEXTURES__rich_and_full_bodied_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/TEXTURES__rich_and_full_bodied_music__s1.wav
83,INSTRUMENTS,harp arpeggio,0.205219,0.047045,0.158174,0.252263,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__harp_arpeggio__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__harp_arpeggio__s1.wav
84,ENVIRONMENTS,ocean waves crashing,0.190451,0.019916,0.170535,0.210366,2,scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__ocean_waves_crashing__s0.wav;scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__ocean_waves_crashing__s1.wav
85,INSTRUMENTS,synthesizer pad,0.186896,0.019879,0.167017,0.206775,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__synthesizer_pad__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__synthesizer_pad__s1.wav
86,ENVIRONMENTS,thunderstorm sounds,0.176301,0.024844,0.151457,0.201145,2,scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__thunderstorm_sounds__s0.wav;scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__thunderstorm_sounds__s1.wav
87,GENRES,rock music,0.175856,0.028254,0.147602,0.204110,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__rock_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__rock_music__s1.wav
88,GENRES,experimental avant-garde music,0.174858,0.030652,0.144205,0.205510,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__experimental_avant_garde_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__experimental_avant_garde_music__s1.wav
89,ENVIRONMENTS,wind blowing through trees,0.174077,0.006381,0.167696,0.180458,2,scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__wind_blowing_through_trees__s0.wav;scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__wind_blowing_through_trees__s1.wav
90,INSTRUMENTS,electric guitar riff,0.173883,0.035651,0.138231,0.209534,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__electric_guitar_riff__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__electric_guitar_riff__s1.wav
91,INSTRUMENTS,choir vocals,0.170904,0.015226,0.155679,0.186130,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__choir_vocals__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__choir_vocals__s1.wav
92,GENRES,country music,0.169577,0.009188,0.160389,0.178766,2,scripts/outputs/prompt_clap_consistency/audio/GENRES__country_music__s0.wav;scripts/outputs/prompt_clap_consistency/audio/GENRES__country_music__s1.wav
93,COMPOUND_PHRASES,driving cinematic percussion with brass,0.169434,0.082472,0.086963,0.251906,2,scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__driving_cinematic_percussion_with_brass__s0.wav;scripts/outputs/prompt_clap_consistency/audio/COMPOUND_PHRASES__driving_cinematic_percussion_with_brass__s1.wav
94,ENVIRONMENTS,desert wind ambience,0.160392,0.009289,0.151103,0.169681,2,scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__desert_wind_ambience__s0.wav;scripts/outputs/prompt_clap_consistency/audio/ENVIRONMENTS__desert_wind_ambience__s1.wav
95,INSTRUMENTS,acoustic guitar strumming,0.153664,0.070525,0.083138,0.224189,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__acoustic_guitar_strumming__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__acoustic_guitar_strumming__s1.wav
96,INSTRUMENTS,cello solo,0.151720,0.076444,0.075276,0.228164,2,scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__cello_solo__s0.wav;scripts/outputs/prompt_clap_consistency/audio/INSTRUMENTS__cello_solo__s1.wav
